Confirmed, Key, LangType, KOR, CN, JAP, KOR_Service, No KOR
,"10101","JAP","지휘계통 오픈… 이제 화면에서 움직이고 싶은 방향을 누르고,\n여러분은 이쪽으로 이동할 수 있습니다!","指挥系统开启……现在，按住屏幕上想移动的方向，\n大家就能向该方向移动！","指挥系统开启……现在，按住屏幕上想移动的方向，\n大家就能向该方向移动！","指挥系统开启……现在，按住屏幕上想移动的方向，\n大家就能向该方向移动！",O
,"10201","JAP","타겟을 클릭하여 AG를 움직이게 하면 AG는 타겟에 대해 현재 선택된 스킬을 즉시 사용하게 됩니다!","通过点击目标让AG行动，AG会立即对目标使用当前选定的技能！","通过点击目标让AG行动，AG会立即对目标使用当前选定的技能！","通过点击目标让AG行动，AG会立即对目标使用当前选定的技能！",O
,"10301","JAP","지금 선정 기능을 전환하려고 시도합니다. 관뢰사류포를 선택해서 괴뢰 무리를 일거에 없애십시오!","现在尝试切换选定技能，请选择「贯雷射流炮」一举消灭傀儡群！","现在尝试切换选定技能，请选择「贯雷射流炮」一举消灭傀儡群！","现在尝试切换选定技能，请选择「贯雷射流炮」一举消灭傀儡群！",O
,"10302","JAP","관뢰사류포를 사용하여 모든 괴뢰들을 공격하라!\n전체 범위 기능 사용 시, 임의의 목표를 선택하여 적 전체를 공격할 수 있습니다!","使用「贯雷射流炮」，攻击全体傀儡！\n使用全体范围技能时，选择任意目标都可以攻击敌方全体！","使用「贯雷射流炮」，攻击全体傀儡！\n使用全体范围技能时，选择任意目标都可以攻击敌方全体！","使用「贯雷射流炮」，攻击全体傀儡！\n使用全体范围技能时，选择任意目标都可以攻击敌方全体！",O
,"10401","JAP","다루기 힘든 적을 만난 듯싶다.\n필살기를 사용할 적기다!","似乎遇到了难缠的敌人，\n正是使用必杀技的最佳时机！","似乎遇到了难缠的敌人，\n正是使用必杀技的最佳时机！","似乎遇到了难缠的敌人，\n正是使用必杀技的最佳时机！",O
,"10402","JAP","필살기 「하타노에다이」가 이미 완성되었습니다!","必杀技「羽之依代」已就绪！","必杀技「羽之依代」已就绪！","必杀技「羽之依代」已就绪！",O
,"10501","JAP","일부 AG는 수동적인 기능을 가지고 있어 지정된 조건을 만족시키면 자동으로 트리거됩니다.\n스킬 아이콘을 길게 누르면 스킬에 대한 자세한 설명을 볼 수 있습니다. 다른 스킬에 맞추어 다른 전술로 구성할 수 있습니다!","部分AG拥有被动技能，满足指定条件即可自动触发，\n长按技能图标，即可查看技能详细描述，配合其他技可以组成不同战术！","部分AG拥有被动技能，满足指定条件即可自动触发，\n长按技能图标，即可查看技能详细描述，配合其他技可以组成不同战术！","部分AG拥有被动技能，满足指定条件即可自动触发，\n长按技能图标，即可查看技能详细描述，配合其他技可以组成不同战术！",O
,"10601","JAP","모든 전희가 공격할 때, 동료의 도움을 받을 확률이 있다.\n니오의 기능 「종달새의 날 쫓기」는 반드시 도움말을 촉발할 수 있다!","所有战姬攻击时，都有一定几率触发队友助攻\n妮欧的技能「云雀追刃」能必定触发助攻！","所有战姬攻击时，都有一定几率触发队友助攻\n妮欧的技能「云雀追刃」能必定触发助攻！","所有战姬攻击时，都有一定几率触发队友助攻\n妮欧的技能「云雀追刃」能必定触发助攻！",O
,"10602","JAP","팀 동료와 호흡을 맞춰 강적을 맞아라.","配合队友，迎击强敌吧！","配合队友，迎击强敌吧！","配合队友，迎击强敌吧！",O
,"10701","JAP","지휘관,\n우리 함선의 AG 전비기능은 복구되어 있어 이를 통해 AG의 기능을 강화할 수 있습니다.","指挥官，\n我们舰船的AG战备功能已经修复，可以通过它来强化AG的技能。","指挥官，\n我们舰船的AG战备功能已经修复，可以通过它来强化AG的技能。","指挥官，\n我们舰船的AG战备功能已经修复，可以通过它来强化AG的技能。",O
,"10702","JAP","강화하고 싶은 거 선택해 주세요","请选择想要强化的技能","请选择想要强化的技能","请选择想要强化的技能",O
,"10703","JAP","강화 버튼을 눌러주세요","请点击强化按钮","请点击强化按钮","请点击强化按钮",O
,"10704","JAP","하지만 기능 강화에는 '디코딩 칩'과 비용이 든다.","不过，强化技能需要消耗“解码芯片”和一定的资金。","不过，强化技能需要消耗“解码芯片”和一定的资金。","不过，强化技能需要消耗“解码芯片”和一定的资金。",O
,"10705","JAP","AG의 전투능력을 향상시키기 위해\n이 정도의 작은 지불은 분명히 가치가 있습니다.당신은 적극적으로 재료를 수집해서 여러분이 끊임없이 강해질 수 있도록 하세요.","为了提升AG的战斗能力，\n这点小小的付出肯定是值得的，请您积极收集材料，让大家不断变强吧。","为了提升AG的战斗能力，\n这点小小的付出肯定是值得的，请您积极收集材料，让大家不断变强吧。","为了提升AG的战斗能力，\n这点小小的付出肯定是值得的，请您积极收集材料，让大家不断变强吧。",O
,"10801","JAP","지휘관님, 우리는 새로운 구성원이 가입했습니다!\n편대 플랫폼을 선택해 '편대'를 진행해보세요!","指挥官，我们有新成员加入了！\n请选择编队平台进行“编队”吧！","指挥官，我们有新成员加入了！\n请选择编队平台进行“编队”吧！","指挥官，我们有新成员加入了！\n请选择编队平台进行“编队”吧！",O
,"10802","JAP","우리는 “편대” 인터페이스를 통해 작전소대를 관리할 수 있다.\n클릭해서 들어가 보세요!","我们可以通过“编队”界面来管理作战小队，\n点击进去看看吧！","我们可以通过“编队”界面来管理作战小队，\n点击进去看看吧！","我们可以通过“编队”界面来管理作战小队，\n点击进去看看吧！",O
,"10803","JAP","각 소대별로 4개의 포지션을 선택할 수 있으며, 그 중 1번 포지션은 적의 표적이 되기 쉬울 것이다.\nAG의 특성을 살려 적절한 전술 포지션을 선택하세요!","每个小队有4个位置可以选择，其中1号位会更容易成为敌人的攻击目标，\n结合AG的特性，为大家选择一个合适的战术位置吧！","每个小队有4个位置可以选择，其中1号位会更容易成为敌人的攻击目标，\n结合AG的特性，为大家选择一个合适的战术位置吧！","每个小队有4个位置可以选择，其中1号位会更容易成为敌人的攻击目标，\n结合AG的特性，为大家选择一个合适的战术位置吧！",O
,"10804","JAP","지난 전투 후, 새로운 AG 백조 마거트는 이미 우리에게 합류했다.\n이제 그를 대열에 합류시키자.","上一场战斗后，新的AG「天鹅」玛格特已经加入我们了，\n现在，让我们把他加入到队伍中。","上一场战斗后，新的AG「天鹅」玛格特已经加入我们了，\n现在，让我们把他加入到队伍中。","上一场战斗后，新的AG「天鹅」玛格特已经加入我们了，\n现在，让我们把他加入到队伍中。",O
,"10805","JAP","스완 마거트를 선택하십시오.","请选中「天鹅」玛格特。","请选中「天鹅」玛格特。","请选中「天鹅」玛格特。",O
,"10806","JAP","클릭해 입단시켜 정식 입단시켜라!","点击入队，让她正式加入队伍吧！","点击入队，让她正式加入队伍吧！","点击入队，让她正式加入队伍吧！",O
,"10807","JAP","좋아, 마거트는 이미 작전 소대에 입대했어.\n그 후 우리는 함께 싸울 동료다!","很好，玛格特已经加入作战小队。！\n之后，我们就是并肩作战的同伴了！","很好，玛格特已经加入作战小队。！\n之后，我们就是并肩作战的同伴了！","很好，玛格特已经加入作战小队。！\n之后，我们就是并肩作战的同伴了！",O
,"10901","JAP","특수 부대 「벨트」의 지휘관으로서, 당신은 아직 알아야 할 많은 일이 있습니다.\n제가 하나하나 설명해 보겠습니다.","作为一个特殊部队「纽带」的指挥官，您还有很多事务需要了解\n下面就让我来逐一说明吧。","作为一个特殊部队「纽带」的指挥官，您还有很多事务需要了解\n下面就让我来逐一说明吧。","作为一个特殊部队「纽带」的指挥官，您还有很多事务需要了解\n下面就让我来逐一说明吧。",O
,"10902","JAP","당신의 AG부대가 빠르게 적응하고 성장할 수 있도록,\n전선과 오토루나는 우리를 위해 훈련과 임무를 준비했다.","为了让您的AG部队迅速地适应和成长，\n阵线与奥托露娜为我们准备了一些训练与任务。","为了让您的AG部队迅速地适应和成长，\n阵线与奥托露娜为我们准备了一些训练与任务。","为了让您的AG部队迅速地适应和成长，\n阵线与奥托露娜为我们准备了一些训练与任务。",O
,"10903","JAP","훈련은 여러 단계로 나뉜다.\n한 단계의 모든 임무를 수행한 후에야 다음 단계를 진행할 수 있다.","训练分为多个阶段\n完成一个阶段所有任务后，才能进行下一阶段。","训练分为多个阶段\n完成一个阶段所有任务后，才能进行下一阶段。","训练分为多个阶段\n完成一个阶段所有任务后，才能进行下一阶段。",O
,"10904","JAP","각 단계에서의 임무 역시 점진적으로 완성해야 한다.\n그러니 일단 '1단계' 훈련부터 끝내자.","每个阶段中的任务同样需要逐步完成\n所以，先完成“第一阶段”的训练吧！","每个阶段中的任务同样需要逐步完成\n所以，先完成“第一阶段”的训练吧！","每个阶段中的任务同样需要逐步完成\n所以，先完成“第一阶段”的训练吧！",O
,"10905","JAP","작업 제목에서 작업 대상을 볼 수 있습니다.","在任务标题处可以查看任务目标。","在任务标题处可以查看任务目标。","在任务标题处可以查看任务目标。",O
,"10906","JAP","미션을 수행한 후 “수령”을 누르는 것을 잊지 마세요.\n미션 당첨!","完成任务后，别忘了点击“领取”，\n来获得任务奖励！","完成任务后，别忘了点击“领取”，\n来获得任务奖励！","完成任务后，别忘了点击“领取”，\n来获得任务奖励！",O
,"10907","JAP","훈련 포인트가 어느 정도 되면\n진도 인센티브를 받으실 수 있습니다.","当训练点数达到一定程度时，\n就可以领取进度奖励了。","当训练点数达到一定程度时，\n就可以领取进度奖励了。","当训练点数达到一定程度时，\n就可以领取进度奖励了。",O
,"10908","JAP","또한, 작업 중 '가기' 버튼을 클릭하면\n바로 임무 수행 장소로 갈 수 있어 편리하다.","此外，只要点击任务中的“前往”按键，\n就能立刻前往执行任务的地点，非常便捷。","此外，只要点击任务中的“前往”按键，\n就能立刻前往执行任务的地点，非常便捷。","此外，只要点击任务中的“前往”按键，\n就能立刻前往执行任务的地点，非常便捷。",O
,"10909","JAP","자, 이제 완전히 파악하셨으리라 믿습니다.\n이제 우리 모두 힘내세요, 존경하는 지휘관님!","好了，相信您已经完全掌握了，\n接下来就让我们一起加油吧，尊敬的指挥官！","好了，相信您已经完全掌握了，\n接下来就让我们一起加油吧，尊敬的指挥官！","好了，相信您已经完全掌握了，\n接下来就让我们一起加油吧，尊敬的指挥官！",O
,"11001","JAP","지휘관, 함선의 과학 연구실은 이미 복구가 끝났다.\n이제 더 어려운 작전에 대비해 AG의 기술을 한 단계 업그레이드해 보자.","指挥官，舰船的科研室已经修复完毕，\n现在，为了应对更艰难的作战，提升一下AG的科技吧！","指挥官，舰船的科研室已经修复完毕，\n现在，为了应对更艰难的作战，提升一下AG的科技吧！","指挥官，舰船的科研室已经修复完毕，\n现在，为了应对更艰难的作战，提升一下AG的科技吧！",O
,"11002","JAP","지휘관님, 저를 따라오십시오.","指挥官，请随我来。","指挥官，请随我来。","指挥官，请随我来。",O
,"11003","JAP","AG-01B 종달새 니오의 기술은 향상된 상태입니다.","AG-01B「云雀」妮欧的科技处于可提升状态。","AG-01B「云雀」妮欧的科技处于可提升状态。","AG-01B「云雀」妮欧的科技处于可提升状态。",O
,"11004","JAP","“테크” 버튼을 클릭하십시오.","请点击“科技”按键。","请点击“科技”按键。","请点击“科技”按键。",O
,"11005","JAP","과학연구실에 와서 패널을 조작하다.","来到科研室操作面板。","来到科研室操作面板。","来到科研室操作面板。",O
,"11006","JAP","각 AG의 과학기술 패널에는 모두 6개의 과학기술이 있다.\n매번 과학기술을 1개 업그레이드할 때마다 대응 능력치를 높일 수 있다.","每个AG的科技面板上共有6项科技，\n每升级1项科技，就能提升对应的能力值。","每个AG的科技面板上共有6项科技，\n每升级1项科技，就能提升对应的能力值。","每个AG的科技面板上共有6项科技，\n每升级1项科技，就能提升对应的能力值。",O
,"11007","JAP","과학기술 3단계를 업그레이드하면 전희의 기량도 강화할 수 있다.","升级科技第三阶段后，还可以强化战姬的技能。","升级科技第三阶段后，还可以强化战姬的技能。","升级科技第三阶段后，还可以强化战姬的技能。",O
,"11008","JAP","AG는 레벨 10마다 1개의 과학기술을 업그레이드할 수 있으며, 반드시 순서대로 업그레이드해야 한다.\n먼저 첫 번째 과학 기술을 살펴보자.","AG每10级可以升级1项科技，而且必须按顺序升级\n我们先来查看第一项科技。","AG每10级可以升级1项科技，而且必须按顺序升级\n我们先来查看第一项科技。","AG每10级可以升级1项科技，而且必须按顺序升级\n我们先来查看第一项科技。",O
,"11009","JAP","지금 바로 그녀를 위해 '시스템 리뉴얼'을 진행합니다.\n능력치를 올려주세요!","现在就为她进行“系统更新”，\n来提升她的能力值吧！","现在就为她进行“系统更新”，\n来提升她的能力值吧！","现在就为她进行“系统更新”，\n来提升她的能力值吧！",O
,"11010","JAP","종달새 니오는 이미 '시스템 업데이트'를 마쳤다.","「云雀」妮欧已经完成“系统更新”！","「云雀」妮欧已经完成“系统更新”！","「云雀」妮欧已经完成“系统更新”！",O
,"11011","JAP","과학기술을 업그레이드하려면 과학 연구의 키를 소모해야 한다.\n“재료 미리보기”를 클릭하시면 모든 기술을 업그레이드한 물품 목록을 볼 수 있습니다.","升级科技需要消耗“科研密钥”。\n点击“材料预览”，可以查看升级全部科技的物品清单。","升级科技需要消耗“科研密钥”。\n点击“材料预览”，可以查看升级全部科技的物品清单。","升级科技需要消耗“科研密钥”。\n点击“材料预览”，可以查看升级全部科技的物品清单。",O
,"11012","JAP","“과학 연구 키”는 “데이터 수집”에서 얻을 수 있습니다. 이것을 목표로 하십시오!","“科研密钥”可以在“数据采集”中获得，请以此为目标吧！","“科研密钥”可以在“数据采集”中获得，请以此为目标吧！","“科研密钥”可以在“数据采集”中获得，请以此为目标吧！",O
,"12001","JAP","지휘관님, 우리 함교는 이미 수리가 끝났습니다.\n당신의 부관인 카펠라로서,나는 최선을 다해 당신이 플래그쉽의 운영에 익숙하도록 돕겠습니다.","指挥官，我们的舰桥已经修理完成，\n作为您的副官卡佩拉，我会尽全力协助您熟悉旗舰的运作。","指挥官，我们的舰桥已经修理完成，\n作为您的副官卡佩拉，我会尽全力协助您熟悉旗舰的运作。","指挥官，我们的舰桥已经修理完成，\n作为您的副官卡佩拉，我会尽全力协助您熟悉旗舰的运作。",O
,"12002","JAP","보급품 구매, 작전단위 정비, 대열 배치 등을 할 수 있다.","您可以在这里采购补给、整顿作战单位、配置队伍等。","您可以在这里采购补给、整顿作战单位、配置队伍等。","您可以在这里采购补给、整顿作战单位、配置队伍等。",O
,"12003","JAP","그러나 아직 임무를 완수하지 못한 우리는 지금이라도 빨리 전장으로 돌아가는 것이 좋다.","但我们还有任务尚未完成，现在尽快返回战场比较好。","但我们还有任务尚未完成，现在尽快返回战场比较好。","但我们还有任务尚未完成，现在尽快返回战场比较好。",O
,"12004","JAP","챕터 아이콘을 클릭하여 메인 챕터로 들어가십시오.","请点击章节图标来进入主线章节。","请点击章节图标来进入主线章节。","请点击章节图标来进入主线章节。",O
,"12005","JAP","이제 첫 번째 임무부터 수행하겠습니다.\n관문 1-1을 선택하십시오.","现在，我们先来执行第一个任务。\n请选择关卡1-1。","现在，我们先来执行第一个任务。\n请选择关卡1-1。","现在，我们先来执行第一个任务。\n请选择关卡1-1。",O
,"12006","JAP","관문의 전장정보를 볼 수 있다.\n클릭해서 작전에 임하면 본격적인 전투를 시작할 수 있다.","这里可以看到关卡的战场信息，\n只要点击前往作战后，就可以开始正式战斗了。","这里可以看到关卡的战场信息，\n只要点击前往作战后，就可以开始正式战斗了。","这里可以看到关卡的战场信息，\n只要点击前往作战后，就可以开始正式战斗了。",O
,"12007","JAP","우리는 매번 전투에 돌입하기 전에 AG 편대를 조정할 수 있다.\n현재 편대는 이미 완성되었으니 전투에 돌입하라!","每次进入战斗前，我们都可以调整AG编队，\n当前编队已经完成，进入战斗吧！","每次进入战斗前，我们都可以调整AG编队，\n当前编队已经完成，进入战斗吧！","每次进入战斗前，我们都可以调整AG编队，\n当前编队已经完成，进入战斗吧！",O
,"13001","JAP","작전의 기본 정보를 소개한다.","接下来我将介绍作战中的基本信息。","接下来我将介绍作战中的基本信息。","接下来我将介绍作战中的基本信息。",O
,"13002","JAP","우선 우리의 전투 목표는 우리측 단위 생명력이 제로화되기 전에 적을 섬멸하는 것이다.","首先，我们的战斗目标是在我方单位生命力归零之前歼灭敌方。","首先，我们的战斗目标是在我方单位生命力归零之前歼灭敌方。","首先，我们的战斗目标是在我方单位生命力归零之前歼灭敌方。",O
,"13003","JAP","우리 측의 위계, 생명력, 상태 등의 정보는 모두 작전단위 위에 표시된다.\n항상 주시하면서 각 멤버의 상태를 확인하시기 바랍니다!","我方的等级、生命力、状态等情报都会显示在作战单位上方，\n请您务必时刻关注，并确认各成员的状态！","我方的等级、生命力、状态等情报都会显示在作战单位上方，\n请您务必时刻关注，并确认各成员的状态！","我方的等级、生命力、状态等情报都会显示在作战单位上方，\n请您务必时刻关注，并确认各成员的状态！",O
,"13004","JAP","아래쪽의 행동게이지직을 보면 양쪽 단위의 공격순서를 알 수 있습니다.\n작전계획 수립에 도움이 될 수 있도록 참고하시고, 행동지문을 클릭하시면 보다 자세한 행동정보를 보실 수 있습니다!","查看下方的行动条，可以了解双方单位的攻击顺序，\n多加参考有利于拟定作战计划，点击行动条可以查看更详细的行动信息哦！","查看下方的行动条，可以了解双方单位的攻击顺序，\n多加参考有利于拟定作战计划，点击行动条可以查看更详细的行动信息哦！","查看下方的行动条，可以了解双方单位的攻击顺序，\n多加参考有利于拟定作战计划，点击行动条可以查看更详细的行动信息哦！",O
,"13005","JAP","게다가 우리는 이곳에서 기량을 선택하거나 살피고, 전술에 따라 다양한 적에 대응할 수 있다.\n스킬 아이콘을 더블 클릭하면 빠른 속도로 이 스킬로 공격할 수 있습니다!","此外，我们还可以在这里选择或查看技能，拟定不同战术，应对各式各样的敌人。\n双击技能图标可以快速使用该技能进行攻击哦！","此外，我们还可以在这里选择或查看技能，拟定不同战术，应对各式各样的敌人。\n双击技能图标可以快速使用该技能进行攻击哦！","此外，我们还可以在这里选择或查看技能，拟定不同战术，应对各式各样的敌人。\n双击技能图标可以快速使用该技能进行攻击哦！",O
,"13006","JAP","그럼 이제 전투를 지휘해 주십시오.","那么现在，就请您开始指挥战斗吧。","那么现在，就请您开始指挥战斗吧。","那么现在，就请您开始指挥战斗吧。",O
,"14001","JAP","지휘관은 우리가 강력한 적과 마주쳤음을 주의하라!나는 그 정보를 화면 위에 놓을 것이다.\n이런 적은 보통의 괴뢰보다 더욱 강합니다.당신은 반드시 적의 기능 정보를 주의 깊게 보십시오!","指挥官请注意，我们遇到了强大的敌人！我会将它的信息置于屏幕上方。\n这种敌人比一般的傀儡更加强大，请您一定要注意查看敌人技能信息！","指挥官请注意，我们遇到了强大的敌人！我会将它的信息置于屏幕上方。\n这种敌人比一般的傀儡更加强大，请您一定要注意查看敌人技能信息！","指挥官请注意，我们遇到了强大的敌人！我会将它的信息置于屏幕上方。\n这种敌人比一般的傀儡更加强大，请您一定要注意查看敌人技能信息！",O
,"14002","JAP","이런 적에게 우리는 '핵심'의 우위를 발휘해야 한다.\n지휘관은 내가 설명할 필요가 있을까.","面对这样的敌人，我们必须发挥“核心”的优势。\n指挥官是否需要我来说明呢？","面对这样的敌人，我们必须发挥“核心”的优势。\n指挥官是否需要我来说明呢？","面对这样的敌人，我们必须发挥“核心”的优势。\n指挥官是否需要我来说明呢？",O
,"14003","JAP","모든 괴뢰와 AG는 '핵심'을 가지고 있다.\n창정, 전자기, 열융착 등 3가지 유형으로 나뉜다.","所有的傀儡与AG都有“核心”，\n并分为苍晶、电磁、热熔这3种类型。","所有的傀儡与AG都有“核心”，\n并分为苍晶、电磁、热熔这3种类型。","所有的傀儡与AG都有“核心”，\n并分为苍晶、电磁、热熔这3种类型。",O
,"14004","JAP","서로 다른 유형의 핵심은 자제 관계에 있다.\n나아가 기능 상해와 적중률에 영향을 준다.","不同类型的核心存在克制关系，\n进而影响技能伤害与命中率。","不同类型的核心存在克制关系，\n进而影响技能伤害与命中率。","不同类型的核心存在克制关系，\n进而影响技能伤害与命中率。",O
,"14005","JAP","이번에 만난 괴뢰는 열융의 핵심이었다.\n그래서 전자기 코어 AG에 의해 자제된다!너무 좋다!","这次遇到的傀儡是热熔核心，\n所以会被电磁核心的AG克制！太好了！","这次遇到的傀儡是热熔核心，\n所以会被电磁核心的AG克制！太好了！","这次遇到的傀儡是热熔核心，\n所以会被电磁核心的AG克制！太好了！",O
,"15001","JAP","지휘관님, 저희 장비 시스템은 수리를 마치고 AG에 개방했습니다.\n이제 제로 4를 위해 무장합시다. 장비는 전희의 능력을 높이는 가장 효과적인 방식이 될 것입니다!","指挥官，我们的装备系统已经修理完毕并开放给AG使用了。\n现在我们为零四武装一下吧，装备将是提升战姬能力最有效的方式！","指挥官，我们的装备系统已经修理完毕并开放给AG使用了。\n现在我们为零四武装一下吧，装备将是提升战姬能力最有效的方式！","指挥官，我们的装备系统已经修理完毕并开放给AG使用了。\n现在我们为零四武装一下吧，装备将是提升战姬能力最有效的方式！",O
,"15002","JAP","먼저 전희 인터페이스로 들어가세요.","请先进入“战姬”界面。","请先进入“战姬”界面。","请先进入“战姬”界面。",O
,"15003","JAP","니오의 장비부터 살펴볼까요?\n니오를 선택해 주세요.","我们先来查看一下妮欧的装备吧，\n请选择妮欧。","我们先来查看一下妮欧的装备吧，\n请选择妮欧。","我们先来查看一下妮欧的装备吧，\n请选择妮欧。",O
,"15004","JAP","장비 패널을 클릭하여 전희장비 페이지로 들어가십시오.","请点击装备面板，进入战姬装备页面。","请点击装备面板，进入战姬装备页面。","请点击装备面板，进入战姬装备页面。",O
,"15005","JAP","AG의 화재 제어 시스템을 선택하십시오.\n그녀의 화력 제어 장비를 배치하자.","选择AG的火控系统，\n来配置她的火控装备吧。","选择AG的火控系统，\n来配置她的火控装备吧。","选择AG的火控系统，\n来配置她的火控装备吧。",O
,"15006","JAP","우리는 여기에서 모든 장비를 볼 수 있습니다.\n그중 하나를 선택해 주세요.","我们可以在这里看到所有装备，\n请选择其中一件。","我们可以在这里看到所有装备，\n请选择其中一件。","我们可以在这里看到所有装备，\n请选择其中一件。",O
,"15007","JAP","“적재”를 누르면 장비 세팅 완료!","点击“装载”，装备配置完成！","点击“装载”，装备配置完成！","点击“装载”，装备配置完成！",O
,"15008","JAP","만약 중요한 장비가 있다면 잠그는 것을 잊지 마라!\n오촉에 의한 장비 분해를 방지한다.","如果有重要的装备，别忘记锁定！\n避免误触导致装备分解。","如果有重要的装备，别忘记锁定！\n避免误触导致装备分解。","如果有重要的装备，别忘记锁定！\n避免误触导致装备分解。",O
,"15009","JAP","장비 사양이 완성되었지만, 더 강화되어야 한다.\n다음으로, 이 장비를 강화합시다!","装备配置完成了，但还需要进一步强化，\n接下来，就让我们强化一下这件装备吧！","装备配置完成了，但还需要进一步强化，\n接下来，就让我们强化一下这件装备吧！","装备配置完成了，但还需要进一步强化，\n接下来，就让我们强化一下这件装备吧！",O
,"15010","JAP","장비의 팝업창에서 '강화'를 클릭하면\n장비 강화!","只要在装备的弹窗中点击“强化”，\n就能强化装备！","只要在装备的弹窗中点击“强化”，\n就能强化装备！","只要在装备的弹窗中点击“强化”，\n就能强化装备！",O
,"15011","JAP","대응하는 웨이퍼 또는 여분의 장비를 선택할 수 있다.\n강화에 필요한 재료로 사용됩니다.","可以选择对应的晶片或多余的装备，\n作为强化所需的材料。","可以选择对应的晶片或多余的装备，\n作为强化所需的材料。","可以选择对应的晶片或多余的装备，\n作为强化所需的材料。",O
