Confirmed, Source, KOR
,"“コンドル”","“콘도르”"
,"……","……"
,"「コンドル」","「콘도르」"
,"「纽带」舰队再次接触","유니온 함대 다시 접촉"
,"あやめ","아야메"
,"お腹が痛そうな患者","배가 아파 보이는 환자"
,"かつての強敵達","예전의 강적들"
,"きっぱりした声","단호한 목소리"
,"ふたり","두 사람"
,"ぷに","뿌니"
,"ぷにニャンボー","뿌니캣볼"
,"ぺぺ","페페"
,"ぼんやりした声","희미한 목소리"
,"ぼんやりと聞こえる声","어렴풋이 들리는 목소리"
,"もうひとりの学生記者","또 한 명의 학생 기자"
,"アイビー","아이비"
,"アイビー&クイン","아이비&퀸"
,"アイビー&グレイ","아이비&그레이"
,"アイリ―","아이리"
,"アイリー","아이리"
,"アカシア","아카시아"
,"アカシア&ベニー","아카시아&베니"
,"アスター","아스타"
,"アダラ","아델라"
,"アトラス","아틀라스"
,"アラメイン将軍","앨러메인 장군"
,"アリス","앨리스"
,"アリスの声","앨리스의 목소리"
,"アリス&ニナ","앨리스&니나"
,"アルマ","알마"
,"アルマ？","알마?"
,"アンジェリカ","안제리카"
,"アンジェリカの母親","안젤리카의 어머니"
,"アンタレス","안타레스"
,"アンディ","안디"
,"アンナ・オートルナ","안나 오토루나"
,"イザベル","이자벨"
,"イザベルのメッセージ","이자벨의 메시지"
,"イザベル＆シャーロッテ","이자벨&샤롯데"
,"イスム","이스무"
,"イベリス","이베리스"
,"ウィニー","위니"
,"ウサギ耳のAG","토끼귀의 AG"
,"ウサギ耳型のレシーバーを装着したAG","토끼 귀형 리시버를 장착한 AG"
,"ウサギ耳型レシーバーを装着したAG","토끼 귀형 리시버를 장착한 AG"
,"エリア","에리어"
,"エリカ","에리카"
,"エリカの両親","에리카의 부모"
,"エリカの母","에리카의 어머니"
,"エリカの父","에리카의 아버지"
,"エリカ？","에리카?"
,"エリカ&ニナ&アリス","에리카&니나&앨리스"
,"エリソン看護師","엘리슨 간호사"
,"エルフィン","엘핀"
,"オネアン","오네안"
,"オートルナの検察官","오토루나 검사"
,"オートルナの通信員","오토루나 통신원"
,"オートルナの騎士達","오토루나 기사들"
,"オートルナ公式報道","오토루나 공식 보도"
,"オートルナ放送","오토루나 방송"
,"カペラ","카펠라"
,"カペラ&ニオ","카펠라&니오"
,"カラスの外見のAG","까마귀 외모의 AG"
,"カラス外見のAG","까마귀 외모의 AG"
,"カラン","카란"
,"カルミア","카르미아"
,"カルミア＆ローレル","칼미아&로렐"
,"カロライン","카롤라인"
,"カンナ","칸나"
,"カンナの声","칸나의 목소리"
,"キキ","키키"
,"キキ、","키키,"
,"キャシー","캐시"
,"キャシーの声","캐시의 목소리"
,"キャノン！！","캐논!!"
,"キャプテン","캡틴"
,"キャプテン？","캡틴?"
,"クイン","퀸"
,"クインの声","퀸의 목소리"
,"クヌーズ","쿠누즈"
,"クヌーズの声","크누즈의 목소리"
,"クヌーズ&クイン","크누즈&퀸"
,"クラウディア","클라우디아"
,"クラウディア・バレンツ","클라우디아 바렌츠"
,"クラスメイト","클래스메이트"
,"クラリス","쿠라리스"
,"クラリスに変装したAG","클라리스로 변장한 AG"
,"クラリスの声","클라리스 목소리"
,"クラリスの音声","클라리스 음성"
,"クラークオクト","크라크옥트"
,"クラーケン","쿠라켄"
,"クリーム","크림"
,"クリームの母親","크림 어머니"
,"クリームの父親","크림 아버지"
,"クローン体達","클론체들"
,"グリア","그리어"
,"グレイ","그레이"
,"グレイの声","그레이 목소리"
,"グレイ&ハスター","그레이 앤 해스터"
,"グレー","그레이"
,"グレース","그레이스"
,"ケイティ","케이티"
,"ケイティの声","케이티의 목소리"
,"ケイトリン","케이틀린"
,"ケンタウルス型傀儡","켄타우루스형 괴뢰"
,"ゲゼッツ","게젯쯔"
,"ココア","코코아"
,"コフィントーチャー","코핀토챠"
,"コラックス","코랏쿠스"
,"コンドル","콘도르"
,"コンドルの記憶の中の研究員","콘도르의 기억 속의 연구원"
,"コヴィー","코비"
,"ゴシップ編集者","가십 편집자"
,"ゴシップ編集者A","가십 편집자 A"
,"ゴシップ編集者B","가십 편집자 B"
,"ゴヤ","고야"
,"ゴースト","고스트"
,"ゴースト&ファンタム","고스트&팬텀"
,"サカブラ","사카부라"
,"サソリ型の機体","전갈형 기체"
,"サリナ","사리나"
,"サリナ＆セレナ","사리나&세레나"
,"サングラスをかけた女性","선글라스를 낀 여자"
,"ザ・サクラ？","더 사쿠라?"
,"ザ・フレーム？","더프레임?"
,"システム","시스템"
,"システムメッセージ","시스템 메시지"
,"シャーロッテ","샤롯테"
,"シャーロッテ＆シルビア","샤롯데&실비아"
,"シリウス","시리우스"
,"シリウス&モリス","시리우스&모리스"
,"シルビア","실비아"
,"シルビア＆シャーロッテ","실비아&샤롯데"
,"シルビア(米尔维斯→西尔维娅のミスタイプ？)","실비아(美 斯斯→西 シル の의 오형?)"
,"シルヴィア","실비아"
,"シンディ","신디"
,"ジアジア","지아지아"
,"ジェシー","제시"
,"ジェシー&ディーン","제시 & 딘"
,"ジェシー&舞華","제시 & 마이카"
,"スティレット","스틸레토"
,"スパイダー達","스파이더들"
,"スリエル","수리엘"
,"セキュリティシステム","보안 시스템"
,"セルリアン","세루리안"
,"セレナ","세레나"
,"ゼロヨン","제로욘"
,"ゼロヨン＆ニオ","제로욘&니오"
,"ソニア","소니아"
,"ソーヤー","소여"
,"タカの外見のAG","매의 외모를 가진 AG"
,"ダイアナ","다이애나"
,"ダンス教師","댄스 교사"
,"ダークディープ","다크딥"
,"チェーン","체인"
,"チェーンソーのAG","전기 톱의 AG"
,"チョコニャンボー","쵸코캣볼"
,"チンピラ","깡패"
,"ティアンテ","티안테"
,"ティノノ","티노노"
,"ティミー","티미"
,"テスト","테스트"
,"テナック市の民衆","테낙시의 민중"
,"テナック市民","테낙 시민"
,"ディーン","딘"
,"ディーン＆舞華","딘&마이카"
,"ディーン&リジット","딘&리짓토"
,"デラ","델라"
,"デラ達3人","델라들 세 사람"
,"デラ＆トイフェル","델라&토이펠"
,"デラ＆ユウイ","델라&유우이"
,"トイフェル","토이펠이"
,"トニー","토니"
,"トニー＆アンディ","토니&앤디"
,"トニー＆アンディ＆メル","토니&앤디&멜"
,"トニー(レラ？)","토니(렐라?)"
,"トリー","토리"
,"ナナ","나나"
,"ナレーション","나레이션"
,"ニオ","니오"
,"ニオ、ゼロヨン","니오, 제로영"
,"ニオの前意識","냄새의 전의식"
,"ニオの声","니오의 목소리"
,"ニオの顕在意識","냄새의 표면 의식"
,"ニオ達","니오달"
,"ニオ＆ゼロヨン","니오&제로욘"
,"ニオ？","니오?"
,"ニオ&レラ","니오&렐라"
,"ニオ(指揮官？)","니오 (지휘관?)"
,"ニナ","니나"
,"ニナのナレーション","니나의 내레이션"
,"ニナ？","니나?"
,"ニャンボー","캣볼"
,"ニャンボー大統領","캣볼 대통령"
,"ニャンボー玉","캣볼 구슬"
,"ニュース","뉴스"
,"ネイサ","네이사"
,"ネプチューン家当主","넵튠가 당주"
,"ネモフィラ","네모필라"
,"ハスター","하스타"
,"ハスターの声","해스터의 목소리"
,"ハラルド","해럴드"
,"ハーピスト","하피스트"
,"バーのオーナー","바의 주인"
,"バーの人達","바 사람들"
,"バーの常連客","바의 단골손님"
,"バーの常連客達","바의 단골 손님들"
,"バーゼラルド","바제랄드"
,"バーナード元帥","버나드 원수"
,"パヴォニス","파보니스"
,"ヒアリン","히아린"
,"ビクトリア","빅토리아"
,"ピエロのAG","어릿광대의 AG"
,"ピューリファイヤ達","퓨리파이어들"
,"ピンク髪の少女","핑크 머리의 소녀"
,"ファイアストーマイナー隊員","파이어스토 마이너 대원"
,"ファイアストーマイナー隊員A","파이어스토 마이너 대원 A"
,"ファイアストーマイナー隊員B","파이어스토 마이너 대원 B"
,"ファイアストーマイナー隊員C","파이어스토 마이너 대원 C"
,"ファイアストーマイナー隊員D","파이어스토 마이너 대원 D"
,"ファイアストーマイナー隊員E","파이어스토 마이너 대원 E"
,"ファイストショップ","파이스트 숍"
,"ファンタム","팬텀"
,"フィル","필"
,"フィーディ","피디"
,"フィービィー","피비"
,"フィービー","피비"
,"フィール","필"
,"フゥライ","후라이"
,"フゥライ&シンディ","후라이&신디"
,"フェリエル","페리엘"
,"フェーディ","페이디"
,"フェーディたち","페이디들"
,"フェーディ＆シンディ","페이디&신디"
,"フォクシ","폭시"
,"フォーレンナイト","포렌나이트"
,"フロンティアの重装型AG","프런티어 중장형 AG"
,"フロンティアのAG","프런티어의 AG."
,"フロンティアイーグル","프런티어이글"
,"フロンティア兵士","프런티어 병사"
,"フロンティア士官","프런티어 사관"
,"フロンティア重装型","프런티어 중장형"
,"フロンティア隊員","프런티어 대원"
,"フロンティア隊長","프런티어 대장"
,"フロンティアAG","프런티어 AG"
,"ブリッジのAG達","브리지의 AG들"
,"ブルー","블루"
,"ブルー＆ケイティ","블루&케이티"
,"ベニー","베니"
,"ベニー＆ローズマリー","베니&로즈마리"
,"ベル","벨"
,"ベルのフリをした指揮官","벨을 휘두른 지휘관"
,"ベルべナ","베루베나"
,"ベルベナ","베르베나"
,"ベル？","벨?"
,"ベロニカ","베로니카"
,"ペペ","페페"
,"ペレ","페레"
,"ボディーガード","보디가드"
,"ボディーガード姿のAG","경호원 차림의 AG"
,"ボンボン","봉봉"
,"マッチャ","맛챠"
,"マリー","마리"
,"マルゴット","마르고트"
,"マーチ","마치"
,"ミシェル","미셀"
,"ミルヴァス","밀버스"
,"ミント","민트"
,"ムース","무스"
,"メイジー","메이지"
,"メイメイ","메이메이"
,"メコ","메코"
,"メコの声","메코의 목소리"
,"メモ","메모"
,"メル","멜"
,"メル、レラ","멜, 렐라"
,"メルの声","멜의 목소리"
,"メルの声？","멜 목소리?"
,"メル＆アンディ","멜&앤디"
,"メル＆レラ＆ニオ","멜&렐라&니오"
,"メレディス","메러디스"
,"モリス","모리스"
,"モーガン","모건"
,"ユイ","유이"
,"ユウイ","유우이"
,"ユニオンのAG","유니온의 AG"
,"ユニオンのAG達","유니온의 AG들"
,"ユニオンAG達","유니온AG들"
,"ライザ","라이자"
,"ライザの声","라이자의 목소리"
,"ライザリン・シュタウト","라이절린 슈타우트"
,"ラリス","라리스"
,"リサ","리사"
,"リサ・オートルナ","리사 오토루나"
,"リジット","리짓토"
,"リディア","리디아"
,"リラ","리라"
,"リラの声","리라의 목소리"
,"リラ・ディザイアス","리라 디자이어스"
,"リリー","릴리"
,"リード","리드"
,"ルッカ―","루커"
,"レイレイ","레이레이"
,"レイヴン","레이븐"
,"レウィシア","레이시아"
,"レナス","레나스"
,"レラ","레라"
,"レラ＆ニオ＆メル","레라&니오&멜"
,"レラ＆フィール＆ゼロヨン","렐라&필&제로욘"
,"レラ＆メル","레라&멜"
,"レーゲル","레게루"
,"ロイズ","로이즈"
,"ロコ","로코"
,"ロニセラ","로니세라"
,"ロベリア","로베리아"
,"ローズマリー","로즈마리"
,"ローズマリー&ディーン","로즈마리&딘"
,"ローレル","로렐"
,"ヴァレリア","발레리아"
,"ヴィトリー","비트리"
,"三人","세 사람"
,"上級傀儡師","상급 괴뢰사"
,"上級傀儡？","상급 괴뢰?"
,"上级傀儡","상급의 괴뢰"
,"上级傀儡？","윗사람 괴뢰?"
,"下っ端兵士","말단 병사"
,"不思議な少女","이상한 소녀"
,"世論編集者","여론 편집자"
,"主持人","사회자"
,"丽萨·奥托露娜","리사 오토루나"
,"乌鸦外表的AG","까마귀 겉모습의 AG"
,"二ナ","니나"
,"二人","두 사람"
,"二代目厨二","2대목 주방장 2"
,"人々","사람들"
,"人体模型？","마네킹?"
,"人質","인질"
,"人類議会の権力者#2","인류의회의 권력자 #2"
,"他の七侍たち","다른 칠무사들"
,"付き人","딸린 사람"
,"伊莎贝尔","이사벨"
,"伊贝丽丝","이벨리스"
,"伯纳德元帅","버나드 원수"
,"低貢献エリア賃貸仲介","저공헌권역 임대중개"
,"佐倉杏子","사쿠라 쿄코"
,"佩佩","패패"
,"佩蕾","페레"
,"供述を聞く指揮官","진술을 듣는 지휘관"
,"修復中のロボット","복구 중인 로봇"
,"修羅","수라"
,"傀儡","괴뢰"
,"傀儡化したエリカ","괴뢰화한 에리카"
,"傀儡化したクラリス","괴뢰화한 클라리스"
,"傀儡化したデラ","괴뢰화한 델라"
,"傀儡化したトリー","괴뢰화한 토리"
,"傀儡化したユウイ","괴뢰화한 유우이"
,"傀儡化した機械","괴뢰화한 기계"
,"傀儡化した重装型AG","괴뢰화한 중장형 AG"
,"傀儡化したAG","괴뢰화한 AG"
,"傀儡化的尤伊","괴뢰화된 유이"
,"傀儡化的德拉","괴뢰화된 델라"
,"傀儡化的AG","괴뢰화된 AG"
,"傀儡化AG","괴뢰화 AG"
,"傀儡师","괴뢰사"
,"傀儡師","괴뢰사"
,"傀儡師となったコンドル","괴뢰사가 된 콘도르"
,"傀儡師・コンドル","괴뢰사 콘도르"
,"傭兵","용병"
,"傲慢な少女","거만한 소녀"
,"優しい声","상냥한 목소리"
,"元気な声","건강한 목소리"
,"先生","선생님"
,"克拉丽丝","클라리스"
,"克拉丽丝的声音","클라리스의 목소리"
,"克罗娅斯","크로아스"
,"全員","전원"
,"全身漆黒の傀儡師","전신 칠흑의 괴뢰사."
,"公開通信","공개 통신"
,"共通频道","공통 채널"
,"兵士","병사"
,"冷たい女の声","차가운 여자의 목소리"
,"冷酷的女声","차가운 여자 목소리"
,"冷静な声","냉정한 목소리"
,"净化者AG们","정화자 AG들"
,"出雲","이즈모"
,"切羽詰まった声","다급한 목소리"
,"刘星瑶","류싱야오"
,"別のチンピラ","다른 깡패"
,"別のフロンティアAG","다른 프런티어 AG"
,"別の労働者","다른 노동자"
,"別の地上の研究員","다른 지상의 연구원"
,"別の市民","다른 시민"
,"別の常連客","다른 단골 손님"
,"別の幼い放浪者","다른 어린 방랑자"
,"別の通りすがりの市民","다른 지나가는 시민"
,"別の通天港の住民","다른 通天항의 주민"
,"別の連合兵士","다른 연합 병사"
,"別のAADのAG","다른 AAD의 AG"
,"劉星瑶","류싱야오"
,"加工された声","가공된 목소리"
,"加工された女の声","세련된 여자 목소리"
,"労働者","노동자"
,"北斗","호쿠토"
,"医療員","의료원"
,"医長","의장."
,"千早","치하야"
,"千早＆千歳","치하야&치토세"
,"千歳","치토세"
,"千歳＆神楽＆山櫻","치토세&카구라&야마 사쿠라"
,"千羽","센바"
,"厄里芬","에리펀"
,"厳しい声","엄한 목소리"
,"受付け係","접수계"
,"另一名傀儡","또 다른 괴뢰"
,"司会","사회"
,"同じ部隊の戦友","같은 부대의 전우"
,"同学","동창"
,"名無しの#1577","이름없는 #1577"
,"名無しの#235126","이름없는 #235126"
,"名無しの#32","이름없는 #32"
,"名無しの#512","이름 없는 #512"
,"名無し#14213","무명 # 14213"
,"名無し#15477","무명 # 15477"
,"名無し#2333","무명 #2333"
,"名無し#24975","이름 없음 #24975"
,"名無し#31","이름 없음 #31"
,"名無し#3446","무명 #3446"
,"名無し#444222","무명 #444222"
,"名無し#57924","무명 #57924"
,"名無し#6487","이름 없음 #6487"
,"名無し#65535","이름 없음 #65535"
,"哈拉尔德","하랄드"
,"回答者","회답자"
,"地上の研究員","지상의 연구원"
,"地上住民","지상 주민"
,"地上初心者","지상 초보자"
,"地上市民","지상 시민"
,"壁に貼られた紙","벽에 붙은 종이"
,"大量人体模型？","다량의 마네킹?"
,"天ノ刃達","아마노하타츠"
,"失踪した生徒","실종된 학생"
,"女の子","여자아이"
,"女性","여성"
,"女性の電子音声","여성의 전자 음성"
,"女性客","여성객"
,"女性研究員","여성 연구원"
,"女性電子音声のニャンボーチップ","여성 전자 음성의 캣볼 칩"
,"女王に変装したAG","여왕으로 변장한 AG"
,"妮娜","니나"
,"妮欧","니오"
,"妮欧？","니오?"
,"娅诗塔","아세탑"
,"娜娜","나나"
,"娜娜&糖糖","나나&설탕"
,"安娜·奥托露娜","안나 오토루나"
,"実験スタッフ","실험 스태프"
,"実験員","실험원"
,"寄生型傀儡师","기생형 괴뢰사단"
,"寄生型傀儡師","기생형 괴뢰사단"
,"小さい頃のクリーム","어린 시절의 크림"
,"小女孩","어린 여자아이"
,"小托利","리틀 톨리"
,"小町","코마치"
,"少女","소녀"
,"少女の声","소녀의 목소리"
,"少女の父親","소녀의 아버지"
,"尤伊","유이"
,"山櫻","야마자쿠라"
,"巴マミ","토모에 마미"
,"市政放送","시정 방송"
,"市民","시민"
,"市民A","시민 A"
,"市民B","시민 B"
,"希尔娜","힐나"
,"希尔维娅","실비아"
,"帕芙妮丝","파보니스"
,"常連客達","단골 손님들"
,"年老いた客人","늙은 손님"
,"幼いシルビア","어린 실비아"
,"幼いネモフィラ","어린 네모필라"
,"幼いベルべナ","어린 베르베나"
,"幼いリリー","어린 릴리"
,"幼い放浪者","어린 방랑자"
,"幼い頃のネモフィラ","어린 시절의 네모필라"
,"幼い頃のベルベナ","어린 시절의 베르베나"
,"弱弱しい声","가냘픈 목소리"
,"德拉","델라"
,"德拉&尤伊","델라 & 유이"
,"德拉&尤伊&菲尔","델라 & 유이 & 필"
,"忍","시노부"
,"思考中の裁判官","사고 중인 재판관"
,"情熱的な客人","정열적인 손님"
,"戈雅","고야"
,"成熟した女性の声？","성숙한 여자 목소리?"
,"戦場のAG達","전장의 AG들."
,"戴安娜","다이애나"
,"手書きの文字","손으로 쓴 문자"
,"技術員","기술원"
,"拉莉斯","랄리스"
,"指導官","지도관"
,"指挥员","지휘관"
,"指挥官","지휘관"
,"指揮型AG","지휘형 AG"
,"指揮官","지휘관"
,"指揮官（メッセージ）","지휘관(메시지)"
,"支援部隊","지원 부대"
,"放浪者","방랑자"
,"放浪者の子供","떠돌이 어린이"
,"放浪者の子供たち","떠돌이 아이들"
,"放浪者の子供A","떠돌이 어린이 A"
,"放浪者の子供B","방랑자의 아이 B"
,"放浪者の子供C","떠돌이 어린이 C"
,"放浪者A","방랑자 A"
,"放浪者B","방랑자 B"
,"放送","방송"
,"政治屋","정치꾼"
,"救助に参加したAG","구조에 참여한 AG"
,"教授","교수"
,"明るい隊員","명랑한 대원"
,"映像を見るパヴォニス","영상을 보는 파보니스"
,"映像を見る傍聴人","영상을 보는 방청인"
,"映像を見る指揮官","영상을 보는 지휘관"
,"映像を見る裁判官","영상을 보는 판사"
,"映像を見る騎士","영상을 보는 기사"
,"智能体中枢","지능체 중추"
,"暁美ほむら","아케미호무라"
,"暴走したニャンボー","폭주한 캣볼"
,"木々の間からの声","나무 사이로 난 목소리"
,"未知の傀儡師","미지의 괴뢰사"
,"未知傀儡师","미지의 괴뢰사"
,"東雲","시노노모"
,"某阵线军官","모 전선 장교"
,"某阵线小队队员","모 전선 소대 대원"
,"格蕾丝","그레이스"
,"桃香","복숭아꽃 향기"
,"梅尔","멜"
,"梅尔的声音","멜의 목소리"
,"梅鶯","메이잉"
,"模因复写实验","요인복사실험"
,"模因复写-全貌","모인복사-전모"
,"樱之魔法少女？","벚꽃의 마법소녀?"
,"機械の腕を持つAG","기계 실력을 가진 AG"
,"機械の触手を弄るAG","기계의 촉수를 만지작거리는 AG"
,"正体不明のAG","정체 불명의 AG"
,"武器商人","무기상"
,"母親？","엄마?"
,"民衆","민중"
,"汗だくの客","땀투성이의 손님"
,"洛贝莉亚","로베리아"
,"浮浪者","부랑자"
,"涼風","스즈카제"
,"涼風&シリウス","스즈카제&시리우스"
,"淡い髪色のAG","옅은 머리색 AG"
,"温柔的声音","부드러운 목소리"
,"火之魔法少女？","불의 마법소녀?"
,"焦った声","초조해진 목소리"
,"爱丽丝","앨리스"
,"爱莉","엘리"
,"父親？","아빠?"
,"爽やかなあいさつ","상쾌한 인사"
,"特別部隊","특별 부대"
,"特別部隊員","특별 부대원"
,"特斐尔","테파엘"
,"犯人","범인"
,"独りぼっちの少女","외톨이 소녀"
,"琉璃","유리"
,"瑠璃","루리"
,"男性","남성"
,"白うさぎ","흰토끼"
,"白うさぎたち","흰토끼들"
,"監督","감독"
,"監視ロボット","감시 로봇"
,"看守","간수"
,"砂うさぎ(仮)","모래토끼(가)"
,"砂漠のAG","사막의 AG"
,"砂漠のAG1","사막의 AG1"
,"砂漠のAG2","사막의 AG2"
,"砂漠のAG3","사막의 AG3"
,"研究员","연구원"
,"研究員","연구원"
,"研究員A","연구원 A"
,"研究員B","연구원 B"
,"研究員C","연구원 C"
,"研究員D","연구원D"
,"研究員E","연구원 %"
,"神楽","카구라"
,"神楽の声","神楽의 소리"
,"神楽？","카구라?"
,"神秘少女","신비 소녀"
,"程青烟","청청연"
,"程青煙","청청연"
,"穏やかな客","온화한 손님"
,"端末","단말"
,"端正な顔の誰か","단정한 얼굴의 누군가"
,"第16号調査報告","제16호 조사보고"
,"第2通天港の市民A","제2통천항노시민A"
,"第2通天港の市民B","제2통천항노시민B"
,"第25軍の通信AG","제25군 통신망"
,"第42軍の指揮AG","42군 지휘권"
,"第47軍の指揮AG","47군 지휘권"
,"第47軍＆第25軍","47군 & 25군"
,"第48中隊AG","48중대 AG"
,"第48軍のAG","48군의 AG"
,"第48軍のAGたち","48군의 AG들"
,"第48軍のAG達","제48군의 AG들"
,"篝","카가리"
,"米尔维斯","밀베스"
,"糖糖","설탕"
,"糖糖&娜娜","설탕&나나"
,"系统","시스템"
,"紅髪の少女","홍발의 소녀"
,"素っ気ない声","무뚝뚝한 목소리"
,"編織者憤怒","편직자의 분노"
,"纱卡布拉","사카브라"
,"纽带的AG们","연결고리의 AG들"
,"经过处理的声音","처리된 소리"
,"美樹さやか","미키사야카"
,"群衆","군중."
,"義肢を見つめる少女","의족을 바라보는 소녀"
,"老师","선생님"
,"胡桃","쿠루미"
O,"舞華","마이카"
,"航空型AG","항공형 AG"
,"舰桥的AG们","함교의 AG들"
,"艦内に響く歌声","함내를 울리는 노랫소리"
,"艦内放送","함내 방송"
,"艾莉卡","에리카"
,"芯の通った声","뼈있는 목소리"
,"苏利尔","수리르"
,"若い観光客","젊은 관광객"
,"若い通行人","젊은 통행인"
,"莉莉","릴리"
,"莎兰娜","사란나"
,"莎兰娜&希尔娜","샤를레나 & 힐나"
,"菖蒲","아야메"
,"菲尔","필"
,"菲蒂","피티"
,"落ち着いた声","차분한 목소리"
,"蔻薇","코웨이"
,"蕾拉","라일라"
,"蕾拉&梅尔","라일라&멜"
,"蕾拉&特斐尔","레일라 & 테파엘"
,"藍髪の少女","남발의 소녀"
,"行光","유키미츠"
,"被検体4号","피검체 4호"
,"裁判官","재판관"
,"親方？","우두머리?"
,"記憶映像の研究員","기억 영상 연구원"
,"記者","기자"
,"記者？","기자님?"
,"記録係","기록계"
,"記録映像","기록 영상"
,"話を聞く指揮官","이야기를 듣는 지휘관"
,"説明中のシャーロッテ","설명중인 샤롯데"
,"説明中の裁判官","설명 중인 판사"
,"謎の声","수수께끼의 목소리"
,"謎の少女","수수께끼의 소녀"
,"警官","경관"
,"議員","의원"
,"議員の助手","의원의 조수"
,"護衛の軍人","호위 군인"
,"護衛担当のAG","호위 담당 AG"
,"记录：「纽带」舰队","기록: 유니온 함대"
,"记录：天幕行动","기록: 천막 작전"
,"貴族","귀족"
,"資料端末","자료 단말"
,"走る生徒","달리는 학생"
,"転校生","전학생"
,"轟雷","고우라이"
,"轟雷／フェーディ","고우라이/페디"
,"转学生","전학생"
,"追放される人物","추방되는 인물"
,"通りすがりの学生","지나가던 학생"
,"通りすがりの市民","지나가는 시민"
,"通信機","통신기"
,"通信端末","통신 단말"
,"通信A","통신 A"
,"通信B","통신 B"
,"通信C","통신 C"
,"通天港の住民","通天항의 주민"
,"通行人C","통행인 C"
,"連合兵士","연합 병사"
,"連邦の白い悪魔？","연방의 하얀 악마?"
,"遠巻きに見ている市民","멀리서 보고 있는 시민"
,"部屋の中のシルビア","방안의 실비아"
,"酒場の常連客","술집의 단골손님"
,"酔いつぶれた客","술에 만취한 손님"
,"重型骨格を着けたAG","중형 골격을 단 AG"
,"重型骨格を装着したAG","중형 골격을 장착한 AG"
,"重装型AG","중장형 AG"
,"金髪の少女","금발의 소녀"
,"銀河","긴가"
,"録画中のニオ","녹화중인 니오"
,"阵线的AG","전선의 AG"
,"阿尔玛","알마"
,"阿特拉斯","아틀라스"
,"雑貨屋の店主","잡화점의 가게 주인"
,"難癖を付ける生徒","트집을 잡는 학생"
,"零四","사방"
,"震える声","떨리는 목소리"
,"頭に包帯を巻いた患者","머리에 붕대를 감은 환자"
,"首脳と呼ばれる少女","수뇌라고 불리는 소녀"
,"首脳に変装したAG","수뇌로 변장한 AG"
,"騎士","기사"
,"騎士に変装したAG","기사로 변장한 AG"
,"騎士団のAG","기사단의 AG"
,"鹿目まどか","카나메마도카"
,"麦茜","매시"
,"黒いマントを着た人物","검은 망토를 입은 인물"
,"黒曜騎士団","흑요 기사단"
,"黒曜騎士団のAG","흑요 기사단의 AG"
,"黒曜騎士団護衛","흑요 기사단 호위"
,"黒髪の少女","검은 머리의 소녀"
,"（ニナ）","(니나)"
,"？？","？？"
,"？？？","？？？"
,"？？？？","？？？？"
,"#<non>","#<non>"
,"A","A"
,"AADのAG","AAD의 AG"
,"AG","AG"
,"AGR-06?","AGR-06?"
,"AI中枢","AI 중추"
,"Lord-Iris","Lord-Iris"
,"No.3970","No.3970"
,"nofail@フィール","nofail@필"
